# 7SD82-DIF-loopback — Siemens 7SD82 SIPROTEC 5 line differential
# generated 2026-09-05 12:28 from 7SD82.html
# configuration: kv=110; freq=50; len=15; type=cable; iref=600; ich=25; ctAp=600; ctAs=1; ctAstar=line; ctBp=600; ctBs=1; ctBstar=line; stage=loop; vtp=110000; vts=100; vtc=wye; comm=fibre; tprop=0.5; tasym=0.2; sync=pp; cmc=6x; imax=12.5; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
# Staging is loop. Steps marked "both ends" in CurrentNeededAt need current at the remote end;
# at local-end staging they cannot be run and must be recorded as untested, not as passed.
Element,ElementName,Group,TU_Module,DriveAs,Step,StepName,SeqRun,SeqState,SeqLabel,StateDuration_s,Channel,Magnitude,Unit,Angle_deg,Frequency_Hz,ChannelNote,Expected,ExpectedDetail,Verdict,CurrentNeededAt
87L,Line differential,Differential,Differential,characteristic,4,Slope at Irest 1.0 pu — below,,,,,I B-L1,0.3725,A,180.00,50.000,end B,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,4,Slope at Irest 1.0 pu — below,,,,,I B-L2,0.3725,A,60.00,50.000,end B,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,4,Slope at Irest 1.0 pu — below,,,,,I B-L3,0.3725,A,-60.00,50.000,end B,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,5,Slope at Irest 3.0 pu — above,,,,,V L1,57.735,V,0.00,50.000,,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,5,Slope at Irest 3.0 pu — above,,,,,V L2,57.735,V,-120.00,50.000,,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,5,Slope at Irest 3.0 pu — above,,,,,V L3,57.735,V,120.00,50.000,,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,5,Slope at Irest 3.0 pu — above,,,,,I A-L1,2.0175,A,0.00,50.000,end A,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,5,Slope at Irest 3.0 pu — above,,,,,I A-L2,2.0175,A,-120.00,50.000,end A,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,5,Slope at Irest 3.0 pu — above,,,,,I A-L3,2.0175,A,120.00,50.000,end A,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,5,Slope at Irest 3.0 pu — above,,,,,I B-L1,0.9825,A,180.00,50.000,end B,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,5,Slope at Irest 3.0 pu — above,,,,,I B-L2,0.9825,A,60.00,50.000,end B,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,5,Slope at Irest 3.0 pu — above,,,,,I B-L3,0.9825,A,-60.00,50.000,end B,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,6,Slope at Irest 3.0 pu — below,,,,,V L1,57.735,V,0.00,50.000,,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,6,Slope at Irest 3.0 pu — below,,,,,V L2,57.735,V,-120.00,50.000,,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,6,Slope at Irest 3.0 pu — below,,,,,V L3,57.735,V,120.00,50.000,,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,6,Slope at Irest 3.0 pu — below,,,,,I A-L1,1.8825,A,0.00,50.000,end A,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,6,Slope at Irest 3.0 pu — below,,,,,I A-L2,1.8825,A,-120.00,50.000,end A,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,6,Slope at Irest 3.0 pu — below,,,,,I A-L3,1.8825,A,120.00,50.000,end A,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,6,Slope at Irest 3.0 pu — below,,,,,I B-L1,1.1175,A,180.00,50.000,end B,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,6,Slope at Irest 3.0 pu — below,,,,,I B-L2,1.1175,A,60.00,50.000,end B,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,6,Slope at Irest 3.0 pu — below,,,,,I B-L3,1.1175,A,-60.00,50.000,end B,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,7,Slope at Irest 8.0 pu — above,,,,,V L1,57.735,V,0.00,50.000,,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,7,Slope at Irest 8.0 pu — above,,,,,V L2,57.735,V,-120.00,50.000,,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,7,Slope at Irest 8.0 pu — above,,,,,V L3,57.735,V,120.00,50.000,,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,7,Slope at Irest 8.0 pu — above,,,,,I A-L1,5.8400,A,0.00,50.000,end A,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,7,Slope at Irest 8.0 pu — above,,,,,I A-L2,5.8400,A,-120.00,50.000,end A,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,7,Slope at Irest 8.0 pu — above,,,,,I A-L3,5.8400,A,120.00,50.000,end A,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,7,Slope at Irest 8.0 pu — above,,,,,I B-L1,2.1600,A,180.00,50.000,end B,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,7,Slope at Irest 8.0 pu — above,,,,,I B-L2,2.1600,A,60.00,50.000,end B,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,7,Slope at Irest 8.0 pu — above,,,,,I B-L3,2.1600,A,-60.00,50.000,end B,OPERATE,Operate — no intentional delay,op,both ends
87L,Line differential,Differential,Differential,characteristic,8,Slope at Irest 8.0 pu — below,,,,,V L1,57.735,V,0.00,50.000,,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,8,Slope at Irest 8.0 pu — below,,,,,V L2,57.735,V,-120.00,50.000,,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,8,Slope at Irest 8.0 pu — below,,,,,V L3,57.735,V,120.00,50.000,,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,8,Slope at Irest 8.0 pu — below,,,,,I A-L1,5.3600,A,0.00,50.000,end A,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,8,Slope at Irest 8.0 pu — below,,,,,I A-L2,5.3600,A,-120.00,50.000,end A,RESTRAIN,No operation,no,both ends
87L,Line differential,Differential,Differential,characteristic,8,Slope at Irest 8.0 pu — below,,,,,I A-L3,5.3600,A,120.00,50.000,end A,RESTRAIN,No operation,no,both ends
